40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.88 - - [01/Apr/2021:01:44:21 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.6 - - [01/Apr/2021:01:44:25 -0700] "GET /texts HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
111.7.96.158 - - [01/Apr/2021:01:51:33 -0700] "\x16\x03\x00\x00i\x01\x00\x00e\x03\x03U\x1C\xA7\xE4random1random2random3random4\x00\x00\x0C\x00/\x00" 400 157 "-" "-"
111.7.96.158 - - [01/Apr/2021:01:59:27 -0700] "HEAD / HTTP/1.1" 404 0 "-" "Chrome/54.0 (Windows NT 10.0)"
111.7.96.158 - - [01/Apr/2021:01:59:27 -0700] "GET / HTTP/1.1" 404 188 "-" "Chrome/54.0 (Windows NT 10.0)"
111.7.96.158 - - [01/Apr/2021:01:59:28 -0700] "GET /favicon.ico HTTP/1.1" 404 188 "-" "Chrome/54.0 (Windows NT 10.0)"
193.118.53.202 - - [01/Apr/2021:02:00:35 -0700] "GET / HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
134.209.170.200 - - [01/Apr/2021:02:32:30 -0700] "POST /_ignition/execute-solution HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
134.209.170.200 - - [01/Apr/2021:02:32:30 -0700] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
134.209.170.200 - - [01/Apr/2021:02:32:30 -0700] "GET / HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
